         25700 function calls (25566 primitive calls) in 0.041 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1432    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:52(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:821(edges)
       37    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:279(__init__)
      144    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:284(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:375(adj)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:437(__iter__)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:469(__len__)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:49(__iter__)
       12    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:283(__len__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:321(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:178(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:185(__iter__)
      132    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:781(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:372(adj)
       67    0.000    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:1097(<genexpr>)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:205(__call__)
     1414    0.002    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:80(__getitem__)
       75    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:102(__getitem__)
       85    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:597(<genexpr>)
       64    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:613(<genexpr>)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:916(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:1093(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:1768(subgraph)
       40    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:188(__getitem__)
       50    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:979(__iter__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\components\connected.py:198(_plain_bfs)
       36    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:338(__getitem__)
