         13060031 function calls (13036035 primitive calls) in 22.732 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2280    0.032    0.000    0.106    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py:231(asarray_tuplesafe)
       16    0.001    0.000    0.005    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\polynomial.py:172(roots)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\linalg.py:159(_commonType)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:525(ensure_dtype_can_hold_na)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\function_base.py:1324(diff)
       40    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\shape_base.py:731(array_split)
      760    0.003    0.000    0.004    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:992(is_numeric_v_string_like)
     2280    0.009    0.000    0.024    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1198(is_bool_dtype)
       16    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\function_base.py:2374(_get_ufunc_and_otypes)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\arraysetops.py:138(unique)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:1828(masked_where)
        4    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:3071(__array_wrap__)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:433(_check_fill_value)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:4624(ravel)
